Date, Open, High, Low, Close, Volume
20211202  18:45:00,3435.66,3440.03,3433.02,3437.28,127
20211202  18:50:00,3438.27,3451.52,3435.2,3449.95,265
20211202  18:55:00,3450.0,3454.7,3448.61,3452.0,87
20211202  19:00:00,3452.41,3452.41,3444.01,3446.07,80
20211202  19:05:00,3446.97,3447.95,3440.0,3441.89,80
20211202  19:10:00,3443.34,3443.34,3435.5,3437.24,39
20211202  19:15:00,3439.93,3449.49,3438.75,3447.36,65
20211202  19:20:00,3445.94,3446.74,3441.13,3441.13,44
20211202  19:25:00,3441.0,3446.64,3437.83,3445.62,105
20211202  19:30:00,3445.46,3446.91,3440.5,3441.0,53
20211202  19:35:00,3442.08,3442.57,3437.12,3438.07,40
20211202  19:40:00,3439.68,3442.05,3436.05,3437.0,57
20211202  19:45:00,3439.29,3439.37,3430.32,3431.4,118
20211202  19:50:00,3431.86,3435.27,3428.5,3429.75,73
20211202  19:55:00,3432.02,3438.09,3430.51,3432.84,94
20211202  20:00:00,3434.48,3438.29,3432.0,3436.3,91
20211202  20:05:00,3436.36,3441.85,3434.17,3436.31,92
20211202  20:10:00,3434.29,3435.01,3425.0,3431.82,134
20211202  20:15:00,3433.1,3434.34,3428.01,3430.77,125
20211202  20:20:00,3429.24,3429.24,3423.75,3425.15,87
20211202  20:25:00,3425.85,3436.15,3424.32,3431.55,95
20211202  20:30:00,3435.35,3445.0,3435.08,3442.52,128
20211202  20:35:00,3441.13,3446.22,3440.0,3445.72,98
20211202  20:40:00,3444.53,3454.0,3444.0,3450.89,190
20211202  20:45:00,3452.27,3453.16,3444.62,3445.3,272
20211202  20:50:00,3444.24,3444.47,3432.14,3434.76,203
20211202  20:55:00,3436.0,3440.76,3427.92,3437.36,558
20211203  14:30:00,3455.0,3469.87,3448.23,3451.72,823
20211203  14:35:00,3450.38,3451.71,3432.12,3432.78,405
20211203  14:40:00,3433.82,3437.04,3422.71,3432.0,302
20211203  14:45:00,3431.95,3434.05,3422.2,3422.6,217
20211203  14:50:00,3425.34,3428.14,3414.41,3415.93,143
20211203  14:55:00,3416.33,3424.37,3411.64,3411.64,189
20211203  15:00:00,3414.83,3416.98,3405.0,3410.71,258
20211203  15:05:00,3410.24,3413.16,3402.73,3403.03,201
20211203  15:10:00,3402.0,3411.77,3398.97,3409.34,282
20211203  15:15:00,3408.0,3421.77,3408.0,3409.35,182
20211203  15:20:00,3409.95,3415.16,3404.29,3412.45,177
20211203  15:25:00,3411.81,3418.2,3401.99,3412.46,231
20211203  15:30:00,3411.0,3411.28,3403.0,3403.0,139
20211203  15:35:00,3404.01,3410.0,3396.15,3398.03,168
20211203  15:40:00,3398.59,3401.0,3382.18,3383.96,363
20211203  15:45:00,3382.55,3389.8,3379.19,3388.0,207
20211203  15:50:00,3385.0,3394.97,3381.12,3387.67,143
20211203  15:55:00,3385.86,3393.0,3382.96,3384.43,157
20211203  16:00:00,3384.42,3390.99,3383.0,3386.69,115
20211203  16:05:00,3385.33,3389.98,3376.44,3389.77,166
20211203  16:10:00,3391.99,3391.99,3380.01,3383.43,235
20211203  16:15:00,3382.19,3388.0,3375.87,3383.18,110
20211203  16:20:00,3381.91,3394.41,3379.63,3393.03,156
